Descrição,Valor,Data Vencimento,Categoria,Tipo,Cartão,Natureza
"Anuidade",99,2024-01-01,Anuidade,Anuidade,BB Infinite,Avulsa
"Ruja Coruja",100.2,2024-01-01,Roupas Bryan,Compras,BB Infinite,Avulsa
"Anuidade",99,2024-02-01,Anuidade,Anuidade,BB Infinite,Avulsa
"Anuidade",99,2024-03-01,Anuidade,Anuidade,BB Infinite,Avulsa
"Anuidade",99,2024-04-01,Anuidade,Anuidade,BB Infinite,Avulsa
"Anuidade",99,2024-05-01,Anuidade,Anuidade,BB Infinite,Avulsa
"Anuidade",99,2024-06-01,Anuidade,Anuidade,BB Infinite,Avulsa
"Anuidade",99,2024-07-01,Anuidade,Anuidade,BB Infinite,Avulsa
"Anuidade",99,2024-08-01,Anuidade,Anuidade,BB Infinite,Avulsa
"Anuidade",99,2024-09-01,Anuidade,Anuidade,BB Infinite,Avulsa
"Anuidade",99,2024-10-01,Anuidade,Anuidade,BB Infinite,Avulsa
"Anuidade",99,2024-11-01,Anuidade,Anuidade,BB Infinite,Avulsa
"Anuidade",99,2024-12-01,Anuidade,Anuidade,BB Infinite,Avulsa
"Anuidade",99,2025-01-01,Anuidade,Anuidade,BB Infinite,Avulsa
"Farmácia",116.78,2025-01-05,Bryan,Farmácia,BB Infinite,Avulsa
"Almoço",116.96,2025-01-05,I Food,Lazer,BB Infinite,Avulsa
"Pacheco",373.5,2025-01-05,Bryan,Farmácia,BB Infinite,Avulsa
"I Food",55.84,2025-01-05,I Food,Lazer,BB Infinite,Avulsa
"Emprestimo consignado",904.49,2025-01-07,Emprestimo,Emprestimo,,Avulsa
"Mercado Livre",128.8,2025-01-09,Mercado Livre,Compras,Smiles,Avulsa
"Mercado Livre",665.33,2025-01-09,Mercado Livre,Compras,Smiles,Avulsa
"Mercado Livre",123,2025-01-09,Mercado Livre,Compras,Smiles,Avulsa
"Galaxy Ultra",5398.88,2025-01-09,Celular,Compras,Smiles,Avulsa
"Mercado Livre",236,2025-01-09,Mercado Livre,Compras,Smiles,Avulsa
"Mercado Livre",115.8,2025-01-15,Mercado Livre,Compras,Azul,Avulsa
"Mercado Livre",42,2025-01-15,Mercado Livre,Compras,Azul,Avulsa
"Anuidade",99,2025-02-01,Anuidade,Anuidade,BB Infinite,Avulsa
"Ruja Coruja (2/2 de R$ 200,40)",100.2,2025-02-05,Roupas Bryan,Compras,BB Infinite,Avulsa
"Anuidade BB Infinite (2/5 de R$ 495,00)",99,2025-02-05,Anuidade,Anuidade,BB Infinite,Avulsa
"Emprestimo consignado (2/8 de R$ 7.235,92)",904.49,2025-02-07,Emprestimo,Emprestimo,,Avulsa
"Mercado Livre (2/6 de R$ 324,12)",52.42,2025-02-09,Mercado Livre,Compras,Smiles,Avulsa
"Mercado Livre (2/3 de R$ 645.33)",215.11,2025-02-09,Mercado Livre,Compras,Smiles,Avulsa
"Mercado Livre (2/2 de R$ 121.00)",60.5,2025-02-09,Mercado Livre,Compras,Smiles,Avulsa
"Galaxy Ultra (2/9 de R$ 5.398,88)",599.88,2025-02-09,Celular,Compras,Smiles,Avulsa
"Mercado Livre (2/3 de R$ 236,00)",78.2,2025-02-09,Mercado Livre,Compras,Smiles,Avulsa
"Mercado Livre (2/4 de R$ 463,20)",115.8,2025-02-15,Mercado Livre,Compras,Azul,Avulsa
"Anuidade",99,2025-03-01,Anuidade,Anuidade,BB Infinite,Avulsa
