Descrição,Valor,Data Vencimento,Categoria,Tipo,Cartão,Natureza
"Iphone",549.9,2025-11-09,Celular,Compras,Smiles,Parcelada
"Emprestimo consignado",904.49,2025-11-07,Emprestimo,Emprestimo,,Parcelada
"Ifood",41.97,2025-08-05,Ifood,Alimentação,BB infinite,Avulsa
"Iphone",549.9,2026-01-09,Celular,Compras,Smiles,Parcelada
"Sem parar",50,2025-08-09,Pedágio,Carro,Smiles,Avulsa
"Amazon Prime Canais",14.99,2025-08-09,Assinaturas,Entretenimento,Smiles,Avulsa
"Link",668.86,2025-08-15,Contas,Compras,Azul Platinum,Parcelada
"Clube smile",42,2025-08-09,Assinaturas,Entretenimento,Smiles,Fixa
"Mercado Livre",52.42,2025-10-09,Mercado Livre,Compras,Smiles,Parcelada
"So do milho",51,2025-08-09,Ifood,Alimentação,Smiles,Avulsa
"Clube smile",42,2026-02-09,Assinaturas,Entretenimento,Smiles,Fixa
"Ri happy",117.99,2025-08-05,Brinquedos Bryan,Compras,BB infinite,Avulsa
"Padaria",8.9,2025-08-09,Padaria,Alimentação,Smiles,Avulsa
"Entrada Carro",457.87,2025-12-09,Financiamento,Carro,Smiles,Parcelada
"Mercado Livre",21.53,2025-08-15,Mercado Livre,Compras,Azul Platinum,Avulsa
"Luz",430.6,2025-08-09,Luz,Moradia,Smiles,Fixa
"Mercado Livre",41.3,2025-08-15,Mercado Livre,Compras,Azul Platinum,Avulsa
"Galaxy Ultra",599.8,2025-12-09,Celular,Compras,Smiles,Parcelada
"Mercado Pago",14.9,2025-08-05,Contas,Compras,BB infinite,Avulsa
"Mercado Livre",215.11,2025-10-09,Mercado Livre,Compras,Smiles,Parcelada
"Entrada Carro",457.87,2026-04-09,Financiamento,Carro,Smiles,Parcelada
"Mercado Livre",52.42,2025-09-09,Mercado Livre,Compras,Smiles,Parcelada
"Anuidade BB infinite",99,2025-10-05,Anuidade,Anuidade,BB infinite,Parcelada
"Luz",430.6,2026-04-09,Luz,Moradia,Smiles,Fixa
"Padaria",3,2025-08-05,Padaria,Alimentação,BB infinite,Avulsa
"Farmácia",58.39,2025-10-05,Bryan,Farmácia,BB infinite,Parcelada
"Almoço",116.96,2025-09-05,Ifood,Alimentação,BB infinite,Avulsa
"Mercado Pago",53.16,2025-08-09,Gerais,Gerais,Smiles,Avulsa
"Clube smile",42,2026-05-09,Assinaturas,Entretenimento,Smiles,Fixa
"Galaxy Ultra",599.8,2025-08-09,Celular,Compras,Smiles,Parcelada
"Padaria",30,2025-08-09,Padaria,Alimentação,Smiles,Avulsa
"Iphone",549.9,2026-02-09,Celular,Compras,Smiles,Parcelada
"Link",458.07,2026-02-15,Contas,Compras,Azul Platinum,Parcelada
"Iphone",549.9,2025-08-09,Celular,Compras,Smiles,Parcelada
"Condomínio",433.2,2025-08-09,Condomínio,Moradia,Smiles,Fixa
"Emprestimo consignado",904.49,2025-08-07,Emprestimo,Emprestimo,,Parcelada
"Entrada Carro",457.87,2025-10-09,Financiamento,Carro,Smiles,Parcelada
"Condomínio",433.2,2026-01-09,Condomínio,Moradia,Smiles,Fixa
"Internet",97.86,2025-10-09,Internet,Moradia,Smiles,Fixa
"Thiago Andrade",51,2025-08-05,Contas,Compras,BB infinite,Avulsa
"Condomínio",433.2,2026-04-09,Condomínio,Moradia,Smiles,Fixa
"Estacionamento",7,2025-08-05,Manutenção,Carro,BB infinite,Avulsa
"Padaria",21,2025-08-05,Padaria,Alimentação,BB infinite,Avulsa
"Mercado Livre",215.11,2025-09-09,Mercado Livre,Compras,Smiles,Parcelada
"Mercado Livre",51.72,2025-11-09,Mercado Livre,Compras,Smiles,Parcelada
"Internet",97.86,2026-02-09,Internet,Moradia,Smiles,Fixa
"Mercado Livre",43.5,2025-08-15,Mercado Livre,Compras,Azul Platinum,Avulsa
"Mercado Livre",60.5,2025-09-09,Mercado Livre,Compras,Smiles,Parcelada
"Ruja Coruja",100.2,2025-09-05,Roupas Bryan,Compras,BB infinite,Parcelada
"Galaxy Ultra",599.8,2025-09-09,Celular,Compras,Smiles,Parcelada
"TV Cazé",1.99,2025-08-05,Assinaturas,Entretenimento,Azul Internacional,Avulsa
"Internet",97.86,2026-07-09,Internet,Moradia,Smiles,Fixa
"Condomínio",433.2,2026-07-09,Condomínio,Moradia,Smiles,Fixa
"Internet",97.86,2026-05-09,Internet,Moradia,Smiles,Fixa
"Galaxy Ultra",599.8,2026-04-09,Celular,Compras,Smiles,Parcelada
"Farmácia",58.39,2025-09-05,Bryan,Farmácia,BB infinite,Parcelada
"Anuidade Smiles",110,2025-10-09,Anuidade,Anuidade,Smiles,Parcelada
"Droga raia",15.98,2025-08-05,Bryan,Farmácia,BB infinite,Avulsa
"Recarga",20,2025-08-15,Contas,Compras,Azul Platinum,Avulsa
"Luz",430.6,2025-12-09,Luz,Moradia,Smiles,Fixa
"Internet",97.86,2025-12-09,Internet,Moradia,Smiles,Fixa
"Arezzo",108.25,2025-08-05,Contas,Compras,BB infinite,Avulsa
"Mercado Livre",78.2,2025-09-09,Mercado Livre,Compras,Smiles,Parcelada
"Mercado Livre",123.71,2025-08-05,Mercado Livre,Compras,BB infinite,Avulsa
"Internet",97.86,2026-06-09,Internet,Moradia,Smiles,Fixa
"Mercado Livre",52.42,2025-08-09,Mercado Livre,Compras,Smiles,Parcelada
"Mercadinho",26.99,2025-08-05,Mercado,Alimentação,BB infinite,Avulsa
"Padaria",6,2025-08-09,Padaria,Alimentação,Smiles,Avulsa
"Galaxy Ultra",599.8,2025-11-09,Celular,Compras,Smiles,Parcelada
"Mercado Livre",51.72,2025-09-09,Mercado Livre,Compras,Smiles,Parcelada
"Anuidade Azul Platinum",31,2025-11-15,Anuidade,Anuidade,Azul Platinum,Parcelada
"Luz",430.6,2026-06-09,Luz,Moradia,Smiles,Fixa
